name,companies_name
ALLSTATE INS GRP,Allstate Fire & Cas Ins Co
ALLSTATE INS GRP,Allstate Ind Co
AMERICAN FAMILY INS GRP,American Family Mut Ins Co
AMERICAN FAMILY INS GRP,American Standard Ins Co of WI
AUTO OWNERS GRP,Owners Ins Co
BERKSHIRE HATHAWAY GRP,Geico Cas Co
BERKSHIRE HATHAWAY GRP,Geico Gen Ins Co
BERKSHIRE HATHAWAY GRP,Geico Ind Co
BERKSHIRE HATHAWAY GRP,Government Employees Ins Co
Country Ins & Fin Serv Grp,Country Mut Ins Co
Country Ins & Fin Serv Grp,Country Pref Ins Co
ERIE INS GRP,Erie Ins Co
ERIE INS GRP,Erie Ins Exch
FARMERS INS GRP,Illinois Farmers Ins Co
HARTFORD FIRE & CAS GRP,Trumbull Ins Co
LIBERTY MUT GRP,First Liberty Ins Corp
LIBERTY MUT GRP,Liberty Mut Fire Ins Co
LIBERTY MUT GRP,Safeco Ins Co Of IL
METROPOLITAN GRP,Economy Preferred Ins Co
METROPOLITAN GRP,Metropolitan Cas Ins Co
METROPOLITAN GRP,Metropolitan Grp Prop & Cas Ins Co
METROPOLITAN GRP,Metropolitan Prop & Cas Ins Co
PEKIN INS GRP,Farmers Automobile Ins Assoc
PROGRESSIVE GRP,Progressive Direct Ins Co
PROGRESSIVE GRP,Progressive Northern Ins Co
PROGRESSIVE GRP,Progressive Universal Ins Co
STATE FARM GRP,State Farm Fire & Cas Co
STATE FARM GRP,State Farm Mut Auto Ins Co
Travelers Grp,Travelers Commercial Ins Co
Travelers Grp,Travelers Home & Marine Ins Co
UNITED SERV AUTOMOBILE ASSN GRP,Garrison Prop & Cas Ins Co
UNITED SERV AUTOMOBILE ASSN GRP,United Serv Automobile Assn
UNITED SERV AUTOMOBILE ASSN GRP,USAA Cas Ins Co
UNITED SERV AUTOMOBILE ASSN GRP,USAA Gen Ind Co
Auto Club Enterprises Ins Grp,Automobile Club Interins Exch
FARMERS INS GRP,21st Century Centennial Ins Co
FARMERS INS GRP,Farmers Ins Co Inc
HARTFORD FIRE & CAS GRP,Twin City Fire Ins Co Co
NATIONWIDE CORP GRP,Allied Prop & Cas Ins Co
NATIONWIDE CORP GRP,Nationwide Affinity Co of Amer
NATIONWIDE CORP GRP,Nationwide Ins Co Of Amer
PROGRESSIVE GRP,Progressive Advanced Ins Co
PROGRESSIVE GRP,Progressive Cas Ins Co
PROGRESSIVE GRP,Progressive Northwestern Ins Co
SHELTER INS GRP,Shelter Mut Ins Co
FARMERS INS GRP,Farmers TX Cnty Mut Ins Co
LIBERTY MUT GRP,Liberty Cnty Mut Ins Co
NATIONWIDE CORP GRP,Colonial Cnty Mut Ins Co
NATIONWIDE CORP GRP,Nationwide Mut Ins Co
PROGRESSIVE GRP,Progressive Cnty Mut Ins Co
STATE FARM GRP,State Farm Cnty Mut Ins Co Of TX
ALLSTATE INS GRP,Northbrook Ind Co
FARMERS INS GRP,Farmers Ins Exch
FARMERS INS GRP,Mid Century Ins Co
LIBERTY MUT GRP,Safeco Ins Co Of Amer
MERCURY GEN GRP,California Automobile Ins Co
MERCURY GEN GRP,Mercury Ins Co
NATIONWIDE CORP GRP,Amco Ins Co
PROGRESSIVE GRP,Progressive West Ins Co
PROGRESSIVE GRP,United Financial Cas Co
